id,city_id,first_name,last_name,email,phone,gender,segment,birth_date,is_active
1,211,Michael,Rivas,michael.rivas@gmail.com,+1-1275-3418,Male,Standard,1993-10-28,True
2,510,Molly,Lutz,molly.lutz@gmail.com,+52-8022-8017,Female,Standard,1977-07-28,True
3,683,Natalie,Clark,natalie.clark@gmail.com,2694-4735,Other,Sports Enthusiast,1970-09-29,True
4,587,Jonathan,Pham,jonathan.pham@gmail.com,3231-8667,Male,Occasional,1983-03-07,True
5,2,Stacey,Dougherty,stacey.dougherty@gmail.com,+34-7720-1104,Female,Standard,1970-08-09,True
6,772,Madison,Petty,madison.petty@gmail.com,+1-6018-7779,Female,Occasional,1986-04-26,True
7,489,Michael,Nelson,michael.nelson@gmail.com,+44-3922-4257,Male,Occasional,1983-02-14,True
8,103,Matthew,Morris,matthew.morris@gmail.com,+34-0218-8521,Male,Occasional,1967-07-17,True
9,729,Daniel,Haley,daniel.haley@gmail.com,,Male,Standard,1980-09-29,True
10,340,Erin,Sloan,erin.sloan@gmail.com,+44-7884-2047,Female,Occasional,1956-03-19,True
11,719,Brandi,Nielsen,brandi.nielsen@gmail.com,+49-8947-7069,Female,Standard,1955-09-24,True
12,607,Lisa,Smith,lisa.smith@gmail.com,+1-0254-6167,Female,Standard,1955-07-24,True
13,588,Adam,Thompson,adam.thompson@gmail.com,8986-3613,Male,Standard,1968-07-14,True
14,646,Kristi,Horton,kristi.horton@gmail.com,+49-1185-7235,Female,Occasional,1979-01-15,True
15,785,Katherine,Long,katherine.long@gmail.com,+52-2638-9654,Female,Sports Enthusiast,1967-02-22,True
16,24,Angela,Mcdowell,angela.mcdowell@gmail.com,+49-7822-0081,Female,Standard,1964-03-13,True
17,501,Matthew,Ryan,matthew.ryan@gmail.com,+49-6906-2515,Male,Standard,1985-07-18,True
18,731,Steven,Cabrera,steven.cabrera@gmail.com,9671-0800,Male,Occasional,1985-09-26,True
19,721,Jill,Martinez,jill.martinez@gmail.com,+34-2274-9665,Female,Occasional,1962-04-12,True
20,354,Valerie,Bennett,valerie.bennett@gmail.com,,Female,Standard,1962-02-24,True
21,383,Kyle,Hughes,kyle.hughes@gmail.com,+1-3433-5367,Male,Sports Enthusiast,1966-10-10,True
22,682,Sara,Cain,sara.cain@gmail.com,+49-2658-7503,Female,Standard,1963-10-26,True
23,2,William,Martinez,william.martinez@gmail.com,,Male,Sports Enthusiast,1955-07-06,True
24,404,Jacob,Lee,jacob.lee@gmail.com,+44-0619-9074,Male,Occasional,1951-12-27,True
