id,department_id,manager_id,first_name,last_name,email,job_title,salary,hire_date,is_active
1,1,,Brandi,Holland,bholland@datamartx.com,Chief Executive Officer,319392.93,2017-07-14,True
2,2,1,Christopher,Harrison,charrison@datamartx.com,Finance Director,157158.59,2019-05-30,True
3,3,1,Monica,Mccann,mmccann@datamartx.com,HR Director,124438.15,2017-11-28,True
4,4,1,Raymond,Lewis,rlewis@datamartx.com,IT Director,158136.16,2019-02-12,True
5,5,1,Patrick,Henderson,phenderson@datamartx.com,Sales Director,144234.07,2019-03-03,True
6,6,1,Carla,Jones,cjones@datamartx.com,Logistics Director,123360.88,2018-01-27,True
7,7,1,Angela,Williams,awilliams@datamartx.com,Customer Support Director,106772.57,2018-04-05,True
8,8,1,Sarah,Ruiz,sruiz@datamartx.com,Product Director,154614.15,2018-06-09,True
9,5,5,Michael,Obrien,mobrien@datamartx.com,Sales Representative,49075.54,2021-03-16,True
10,8,8,Emily,Pham,epham@datamartx.com,Data Analyst,66178.7,2022-05-09,True
11,2,2,Jenna,Pacheco,jpacheco@datamartx.com,Junior Accountant,51409.42,2025-01-27,True
12,7,7,Adam,Wagner,awagner@datamartx.com,Support Agent,37426.75,2023-01-11,True
13,6,6,Parker,Madden,pmadden@datamartx.com,Logistics Coordinator,52499.44,2025-11-04,True
14,8,8,Emily,Anderson,eanderson@datamartx.com,Product Manager,90865.48,2020-08-26,True
15,5,5,Patricia,Williams,pwilliams@datamartx.com,Marketing Manager,96583.47,2021-09-25,True
16,3,3,Harry,Jackson,hjackson@datamartx.com,HR Coordinator,44490.41,2019-09-24,True
17,6,6,Trevor,Morgan,tmorgan@datamartx.com,Warehouse Supervisor,49097.63,2024-06-30,True
18,5,5,Taylor,Davis,tdavis@datamartx.com,Marketing Manager,93766.82,2018-07-19,True
19,6,6,Jennifer,Hamilton,jhamilton@datamartx.com,Supply Chain Manager,96257.29,2025-08-25,True
20,6,6,Jorge,Edwards,jedwards@datamartx.com,Supply Chain Manager,82842.98,2025-01-07,True
21,6,6,Tiffany,Porter,tporter@datamartx.com,Inventory Clerk,38000.27,2021-01-02,True
22,5,5,Teresa,Campbell,tcampbell@datamartx.com,Marketing Manager,93875.97,2021-11-07,True
23,6,6,Michael,Jordan,mjordan@datamartx.com,Logistics Coordinator,54504.02,2023-04-04,True
24,5,5,Raven,Baker,rbaker@datamartx.com,Sales Representative,56110.27,2018-07-27,True
25,4,4,Maria,Mcintosh,mmcintosh@datamartx.com,Helpdesk Specialist,49903.84,2021-10-04,True
26,7,7,Zachary,Graham,zgraham@datamartx.com,Support Team Lead,61358.54,2018-12-03,True
27,4,4,Frederick,Doyle,fdoyle@datamartx.com,DevOps Engineer,84024.54,2021-04-11,True
28,2,2,Travis,Dodson,tdodson@datamartx.com,Financial Analyst,55084.56,2022-05-16,True
29,4,4,Angela,Livingston,alivingston@datamartx.com,DevOps Engineer,93076.05,2024-02-04,True
30,6,6,Dana,Gonzales,dgonzales@datamartx.com,Logistics Coordinator,50600.94,2022-07-05,True
31,5,5,Jacob,Brown,jbrown@datamartx.com,Sales Representative,48813.87,2020-05-05,True
32,4,4,Isaac,Harrison,iharrison@datamartx.com,Lead Software Engineer,127693.91,2020-07-07,True
33,5,5,Frank,Mcdonald,fmcdonald@datamartx.com,Sales Representative,51809.71,2024-02-04,True
34,6,6,Darren,Woodard,dwoodard@datamartx.com,Supply Chain Manager,90143.91,2024-04-28,True
35,2,2,Troy,Alexander,talexander@datamartx.com,Senior Accountant,90591.61,2022-11-14,True
36,3,3,Vanessa,Hoffman,vhoffman@datamartx.com,Recruiter,57002.69,2018-09-08,True
37,2,2,Stephen,Rodriguez,srodriguez@datamartx.com,Senior Accountant,88430.45,2018-12-07,True
38,5,5,Jennifer,Hernandez,jhernandez@datamartx.com,Account Manager,68820.56,2021-02-20,True
39,6,6,Michael,Harris,mharris@datamartx.com,Inventory Clerk,40911.85,2024-12-16,True
40,4,4,Justin,Conley,jconley@datamartx.com,Software Engineer,70648.66,2025-04-26,True
41,4,4,Karen,Carson,kcarson@datamartx.com,Senior Systems Administrator,100622.58,2024-12-28,True
42,5,5,Anna,Alvarado,aalvarado@datamartx.com,Marketing Manager,87869.03,2020-10-17,True
43,8,8,Jason,Bolton,jbolton@datamartx.com,Product Manager,93852.75,2024-08-12,True
44,6,6,Adam,Wang,awang@datamartx.com,Logistics Coordinator,50813.17,2019-07-06,True
45,8,8,Henry,Knapp,hknapp@datamartx.com,Data Analyst,63533.74,2022-07-03,True
46,6,6,John,Jimenez,jjimenez@datamartx.com,Supply Chain Manager,82988.94,2025-01-06,True
47,4,4,Clinton,Murphy,cmurphy@datamartx.com,Senior Systems Administrator,98969.61,2025-07-19,True
48,6,6,Justin,Zavala,jzavala@datamartx.com,Supply Chain Manager,84108.85,2020-02-08,True
49,4,4,David,Brooks,dbrooks@datamartx.com,Software Engineer,83587.63,2023-10-16,True
50,5,5,Sarah,Rodriguez,srodriguez1@datamartx.com,Sales Representative,56858.59,2020-05-24,False
51,7,7,Marcus,Johnson,mjohnson@datamartx.com,Support Agent,37241.27,2019-05-03,True
52,7,7,Steve,Zimmerman,szimmerman@datamartx.com,Senior Support Agent,46487.17,2025-05-27,False
53,7,7,Timothy,Fuller,tfuller@datamartx.com,Senior Support Agent,48736.27,2021-10-03,True
54,4,4,Joseph,Barrett,jbarrett@datamartx.com,Helpdesk Specialist,45213.47,2019-08-30,True
55,5,5,Mark,Williams,mwilliams@datamartx.com,Sales Representative,57668.13,2024-11-30,True
56,6,6,Cindy,Chavez,cchavez@datamartx.com,Inventory Clerk,36262.52,2022-10-28,True
57,4,4,Stacey,Cooke,scooke@datamartx.com,Senior Systems Administrator,99438.47,2022-06-12,True
58,8,8,Rebecca,Robles,rrobles@datamartx.com,Data Analyst,65862.67,2021-01-13,False
59,4,4,David,Boyer,dboyer@datamartx.com,Lead Software Engineer,124097.12,2023-03-12,False
60,2,2,Laurie,Campbell,lcampbell@datamartx.com,Financial Analyst,61089.88,2023-08-12,True
61,5,5,Lauren,Manning,lmanning@datamartx.com,SEO Specialist,65169.06,2025-12-30,True
62,5,5,Amy,Guzman,aguzman@datamartx.com,SEO Specialist,66369.44,2019-03-15,True
63,8,8,Christopher,Scott,cscott@datamartx.com,Data Analyst,77837.5,2022-02-15,True
64,7,7,John,Wise,jwise@datamartx.com,Senior Support Agent,48524.37,2020-08-15,False
65,4,4,Raymond,Smith,rsmith@datamartx.com,Lead Software Engineer,110388.79,2023-06-14,True
66,5,5,Jared,Price,jprice@datamartx.com,Sales Representative,60206.79,2020-06-11,True
67,4,4,Richard,Holland,rholland@datamartx.com,Software Engineer,88576.31,2022-10-12,True
68,4,4,Stephanie,Moore,smoore@datamartx.com,DevOps Engineer,98468.57,2021-09-13,False
69,6,6,Kenneth,Owen,kowen@datamartx.com,Inventory Clerk,36811.35,2022-08-13,True
70,3,3,Jill,Dorsey,jdorsey@datamartx.com,HR Coordinator,43373.28,2022-07-15,True
71,6,6,Rebecca,Munoz,rmunoz@datamartx.com,Warehouse Supervisor,48004.48,2021-11-15,True
72,6,6,Michael,Davis,mdavis@datamartx.com,Logistics Coordinator,53877.67,2023-03-30,True
73,6,6,Michael,Gonzalez,mgonzalez@datamartx.com,Supply Chain Manager,94694.7,2022-08-21,True
74,8,8,Sean,Hughes,shughes@datamartx.com,Senior Product Manager,107866.86,2023-05-24,True
75,5,5,Joseph,Burke,jburke@datamartx.com,SEO Specialist,62064.8,2022-05-27,True
76,2,2,Christopher,Henderson,chenderson@datamartx.com,Financial Analyst,66040.43,2024-02-01,True
77,8,8,Micheal,Lopez,mlopez@datamartx.com,Data Analyst,71898.34,2024-07-04,True
78,2,2,Crystal,Davis,cdavis@datamartx.com,Junior Accountant,48528.03,2020-11-21,True
79,8,8,William,Mcpherson,wmcpherson@datamartx.com,Data Analyst,67810.52,2019-03-21,True
80,4,4,Erica,Holland,eholland@datamartx.com,DevOps Engineer,99061.42,2019-02-13,True
81,4,4,Jennifer,Arias,jarias@datamartx.com,Helpdesk Specialist,52455.46,2022-05-26,True
82,5,5,Alison,Holland,aholland@datamartx.com,SEO Specialist,65106.53,2025-01-08,True
83,3,3,Christopher,Mcdonald,cmcdonald@datamartx.com,Recruiter,63286.05,2020-02-03,True
84,4,4,Christian,Solis,csolis@datamartx.com,Database Administrator,91780.04,2022-02-03,True
85,7,7,Kevin,Joyce,kjoyce@datamartx.com,Senior Support Agent,50972.61,2025-09-11,True
86,3,3,Gabrielle,Evans,gevans@datamartx.com,HR Specialist,60113.34,2025-09-18,True
87,4,4,John,Patterson,jpatterson@datamartx.com,Senior Systems Administrator,109907.4,2020-03-03,True
88,5,5,Ashley,Arnold,aarnold@datamartx.com,Sales Representative,55354.69,2022-11-29,True
89,6,6,Samantha,Palmer,spalmer@datamartx.com,Inventory Clerk,38238.85,2021-05-09,True
90,5,5,William,Gutierrez,wgutierrez@datamartx.com,SEO Specialist,67969.54,2025-08-20,True
91,5,5,Steven,Cortez,scortez@datamartx.com,SEO Specialist,59479.05,2021-09-02,True
92,5,5,Lisa,Kelly,lkelly@datamartx.com,Sales Representative,57730.9,2023-03-05,True
93,5,5,Brenda,Mack,bmack@datamartx.com,SEO Specialist,65354.83,2020-04-11,True
94,4,4,Allen,Yang,ayang@datamartx.com,Software Engineer,71805.53,2020-07-05,True
